det_occ_code,major_occ_code,det_ind_code
0, Not in universe,0
34, Precision production craft & repair,4
10, Professional specialty,40
3, Executive admin and managerial,34
40, Handlers equip cleaners etc ,4
26, Adm support including clerical,43
37, Machine operators assmblrs & inspctrs,4
31, Other service,37
12, Professional specialty,24
36, Machine operators assmblrs & inspctrs,39
41, Handlers equip cleaners etc ,12
22, Adm support including clerical,35
2, Executive admin and managerial,4
35, Precision production craft & repair,19
25, Adm support including clerical,29
23, Adm support including clerical,45
42, Handlers equip cleaners etc ,32
8, Professional specialty,48
19, Sales,33
29, Other service,33
27, Private household services,36
16, Sales,32
33, Precision production craft & repair,31
13, Technicians and related support,41
18, Sales,32
9, Professional specialty,43
17, Sales,35
39, Transportation and material moving,5
32, Other service,39
11, Professional specialty,45
30, Other service,42
38, Transportation and material moving,29
20, Sales,37
7, Professional specialty,43
21, Adm support including clerical,50
44, Farming forestry and fishing,2
24, Adm support including clerical,33
43, Farming forestry and fishing,2
28, Protective services,47
4, Professional specialty,12
1, Executive admin and managerial,50
6, Professional specialty,42
45, Farming forestry and fishing,46
14, Technicians and related support,45
5, Professional specialty,37
15, Technicians and related support,45
46, Armed Forces,51
