age,year,id_person,education,marital_stat,race,hisp_origin,sex
73,95,0,0,0,0,0,0
62,95,126,0,0,0,0,0
76,94,179,0,0,0,0,0
63,95,207,0,0,0,0,0
70,95,219,0,0,0,0,0
69,94,343,0,0,0,0,0
81,94,657,0,0,0,0,0
65,95,909,0,0,0,0,0
53,94,1089,0,0,0,0,0
70,94,1188,0,0,0,0,0
69,95,1505,0,0,0,0,0
75,95,1515,0,0,0,0,0
62,94,1600,0,0,0,0,0
63,95,1672,0,0,0,0,0
72,94,1726,0,0,0,0,0
80,94,1752,0,0,0,0,0
68,94,2073,0,0,0,0,0
47,95,2179,0,0,0,0,0
68,95,2354,0,0,0,0,0
68,94,2366,0,0,0,0,0
64,95,2465,0,0,0,0,0
69,94,2516,0,0,0,0,0
54,94,2540,0,0,0,0,0
67,94,2580,0,0,0,0,0
50,95,2674,0,0,0,0,0
42,95,2739,0,0,0,0,0
65,95,2791,0,0,0,0,0
85,95,2825,0,0,0,0,0
59,94,2833,0,0,0,0,0
73,95,2936,0,0,0,0,0
72,95,3124,0,0,0,0,0
52,94,3131,0,0,0,0,0
58,94,3390,0,0,0,0,0
82,94,3445,0,0,0,0,0
55,95,3469,0,0,0,0,0
82,94,3676,0,0,0,0,0
78,95,3750,0,0,0,0,0
84,94,3955,0,0,0,0,0
59,95,3958,0,0,0,0,0
86,94,4029,0,0,0,0,0
67,95,4043,0,0,0,0,0
83,94,4286,0,0,0,0,0
85,94,4289,0,0,0,0,0
68,94,4685,0,0,0,0,0
54,94,4815,0,0,0,0,0
90,95,4846,0,0,0,0,0
57,95,4853,0,0,0,0,0
75,94,4859,0,0,0,0,0
68,95,4872,0,0,0,0,0
69,95,4874,0,0,0,0,0
66,94,5098,0,0,0,0,0
78,95,5227,0,0,0,0,0
58,94,5392,0,0,0,0,0
64,94,5433,0,0,0,0,0
68,94,5454,0,0,0,0,0
83,95,5510,0,0,0,0,0
79,94,5565,0,0,0,0,0
84,95,5594,0,0,0,0,0
83,94,5631,0,0,0,0,0
54,94,5641,0,0,0,0,0
73,95,5725,0,0,0,0,0
77,94,5875,0,0,0,0,0
54,94,5877,0,0,0,0,0
89,95,5944,0,0,0,0,0
79,95,6045,0,0,0,0,0
75,95,6071,0,0,0,0,0
71,95,6160,0,0,0,0,0
61,94,6217,0,0,0,0,0
69,95,6416,0,0,0,0,0
67,94,6419,0,0,0,0,0
65,95,6467,0,0,0,0,0
73,94,6481,0,0,0,0,0
45,94,6492,0,0,0,0,0
51,95,6600,0,0,0,0,0
42,95,6606,0,0,0,0,0
74,94,6675,0,0,0,0,0
61,95,6700,0,0,0,0,0
90,94,6770,0,0,0,0,0
62,95,6771,0,0,0,0,0
82,95,6842,0,0,0,0,0
71,95,6992,0,0,0,0,0
65,94,7120,0,0,0,0,0
76,95,7246,0,0,0,0,0
71,94,7501,0,0,0,0,0
73,95,7504,0,0,0,0,0
74,95,7605,0,0,0,0,0
77,95,7687,0,0,0,0,0
77,94,7689,0,0,0,0,0
84,94,7734,0,0,0,0,0
64,94,7741,0,0,0,0,0
69,94,7788,0,0,0,0,0
86,94,7821,0,0,0,0,0
77,94,7859,0,0,0,0,0
90,95,7925,0,0,0,0,0
89,95,7934,0,0,0,0,0
74,95,7966,0,0,0,0,0
65,94,8090,0,0,0,0,0
73,94,8186,0,0,0,0,0
78,95,8225,0,0,0,0,0
78,94,8326,0,0,0,0,0
77,94,8375,0,0,0,0,0
80,95,8484,0,0,0,0,0
73,95,8547,0,0,0,0,0
68,95,8560,0,0,0,0,0
68,95,8561,0,0,0,0,0
66,95,8568,0,0,0,0,0
78,94,8732,0,0,0,0,0
78,95,8874,0,0,0,0,0
75,95,9036,0,0,0,0,0
80,94,9102,0,0,0,0,0
78,94,9108,0,0,0,0,0
62,94,9154,0,0,0,0,0
63,95,9167,0,0,0,0,0
59,94,9173,0,0,0,0,0
87,95,9206,0,0,0,0,0
83,95,9293,0,0,0,0,0
82,95,9375,0,0,0,0,0
70,94,9407,0,0,0,0,0
57,95,9440,0,0,0,0,0
61,95,9521,0,0,0,0,0
50,94,9630,0,0,0,0,0
68,94,9658,0,0,0,0,0
54,94,9743,0,0,0,0,0
48,95,9797,0,0,0,0,0
83,94,9817,0,0,0,0,0
65,95,9857,0,0,0,0,0
72,94,10094,0,0,0,0,0
80,94,10133,0,0,0,0,0
67,94,10314,0,0,0,0,0
69,94,10484,0,0,0,0,0
53,94,10570,0,0,0,0,0
83,94,10580,0,0,0,0,0
72,94,10634,0,0,0,0,0
71,95,10736,0,0,0,0,0
73,94,10759,0,0,0,0,0
49,95,10804,0,0,0,0,0
75,95,10828,0,0,0,0,0
71,94,10899,0,0,0,0,0
80,94,10928,0,0,0,0,0
76,94,11025,0,0,0,0,0
83,95,11081,0,0,0,0,0
67,95,11419,0,0,0,0,0
75,94,11458,0,0,0,0,0
84,95,11481,0,0,0,0,0
73,95,11552,0,0,0,0,0
61,95,11604,0,0,0,0,0
73,95,11648,0,0,0,0,0
65,94,11800,0,0,0,0,0
58,94,11825,0,0,0,0,0
48,94,11892,0,0,0,0,0
83,95,11932,0,0,0,0,0
86,95,12006,0,0,0,0,0
85,94,12171,0,0,0,0,0
87,95,12209,0,0,0,0,0
88,94,12335,0,0,0,0,0
79,95,12359,0,0,0,0,0
81,94,12371,0,0,0,0,0
55,95,12540,0,0,0,0,0
74,95,12555,0,0,0,0,0
75,94,12677,0,0,0,0,0
76,94,12795,0,0,0,0,0
79,95,12797,0,0,0,0,0
76,94,12816,0,0,0,0,0
64,95,12821,0,0,0,0,0
76,94,12828,0,0,0,0,0
66,94,13083,0,0,0,0,0
57,94,13221,0,0,0,0,0
76,95,13290,0,0,0,0,0
64,94,13342,0,0,0,0,0
72,95,13457,0,0,0,0,0
72,94,13606,0,0,0,0,0
79,95,13611,0,0,0,0,0
